index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-0,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.1128,1.0,239.85000000000002,30.0,3.0,4.4,3.0,37.9,themecat
themecat-1,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0944,1.0,219.85000000000002,30.0,3.0,4.4,3.0,37.9,themecat
themecat-2,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0675,1.0,199.85000000000002,30.0,3.0,4.4,3.0,37.9,themecat
themecat-3,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0462,1.0,219.85000000000002,10.0,3.0,4.4,3.0,37.9,themecat
themecat-4,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0434,1.0,199.85000000000002,10.0,3.0,4.4,3.0,37.9,themecat
themecat-5,O=C=O,[H][H],CO,[Cu].[Zn].[Al],0.0387,1.0,239.85000000000002,10.0,3.0,4.4,3.0,37.9,themecat
themecat-6,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.1241,1.0,239.85000000000002,30.0,3.0,4.4,3.0,48.8,themecat
themecat-7,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.102,1.0,219.85000000000002,30.0,3.0,4.4,3.0,48.8,themecat
themecat-8,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0675,1.0,199.85000000000002,30.0,3.0,4.4,3.0,48.8,themecat
themecat-9,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0437,1.0,219.85000000000002,10.0,3.0,4.4,3.0,48.8,themecat
themecat-10,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0358,1.0,199.85000000000002,10.0,3.0,4.4,3.0,48.8,themecat
themecat-11,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.033,1.0,239.85000000000002,10.0,3.0,4.4,3.0,48.8,themecat
themecat-12,O=C=O,[H][H],CO,[Cu].[Zr],0.1259,1.0,239.85000000000002,30.0,3.0,4.4,2.0,68.7,themecat
themecat-13,O=C=O,[H][H],CO,[Cu].[Zr],0.1059,1.0,219.85000000000002,30.0,3.0,4.4,2.0,68.7,themecat
