pseudo_smiles,composition_view,predicted_sty_g_h_gcat,raw_score,activity_head_sty,n_components,has_active_metal,validation_score,validation_tier,passes_validation_gate,known_family_similarity,nearest_known_family,is_novel_composition,has_known_support,has_known_promoter,matched_methanol_family,validation_reasons,components
[Fe].[Ti],Fe/TiO2,1.27164888381958,-244.46336364746097,1.27164888381958,2,True,67.5,B,True,0.5,Fe,True,True,False,,active metal present; known oxide support; tractable component count; nearest known family Fe (0.50); novel composition,Fe|Ti
[Pt].[Zn],Pt/ZnO,0.9518393278121948,-199.93685913085935,0.9518393278121948,2,True,90.0,A,True,0.6666666666666666,Pt|Zn|Zr,True,True,False,Pt/ZnO hydrogenation family,active metal present; known oxide support; tractable component count; nearest known family Pt|Zn|Zr (0.67); Pt/ZnO hydrogenation family; novel composition,Pt|Zn
[Pt].[Ti],Pt/TiO2,0.9510511159896851,-306.2692565917969,0.9510511159896851,2,True,65.0,B,True,0.3333333333333333,Pd|Ti,True,True,False,,active metal present; known oxide support; tractable component count; nearest known family Pd|Ti (0.33); novel composition,Pt|Ti
[Ni].[Pt].[Ti],Ni/Pt/TiO2,0.9478806257247925,-233.6929931640625,0.9478806257247925,3,True,83.75,A,True,0.25,Pd|Ti,True,True,False,Ni/TiO2 hydrogenation family,active metal present; known oxide support; tractable component count; nearest known family Pd|Ti (0.25); Ni/TiO2 hydrogenation family; novel composition,Ni|Pt|Ti
[Ni].[Zn],Ni/ZnO,0.9367276430130005,-199.11166381835935,0.9367276430130005,2,True,67.5,B,True,0.5,Zn,True,True,False,,active metal present; known oxide support; tractable component count; nearest known family Zn (0.50); novel composition,Ni|Zn
[Ni].[Ti],Ni/TiO2,0.9347800612449646,-166.74256896972656,0.9347800612449646,2,True,85.0,A,True,0.3333333333333333,Pd|Ti,True,True,False,Ni/TiO2 hydrogenation family,active metal present; known oxide support; tractable component count; nearest known family Pd|Ti (0.33); Ni/TiO2 hydrogenation family; novel composition,Ni|Ti
[Pt].[Ti].[Zn],Pt/TiO2/ZnO,0.9221615791320801,-224.59716796875,0.9221615791320801,3,True,87.5,A,True,0.5,Pd|Ti|Zn,True,True,False,Pt/ZnO hydrogenation family,active metal present; known oxide support; tractable component count; nearest known family Pd|Ti|Zn (0.50); Pt/ZnO hydrogenation family; novel composition,Pt|Ti|Zn
[Ni].[Pt].[Ti].[Zn],Ni/Pt/TiO2/ZnO,0.8769314289093018,-287.24530029296875,0.8769314289093018,4,True,86.0,A,True,0.4,Pd|Ti|Zn,True,True,False,Pt/ZnO hydrogenation family,active metal present; known oxide support; tractable component count; nearest known family Pd|Ti|Zn (0.40); Pt/ZnO hydrogenation family; novel composition,Ni|Pt|Ti|Zn
[Ni].[Ti].[Zn],Ni/TiO2/ZnO,0.8726663589477539,-208.757568359375,0.8726663589477539,3,True,87.5,A,True,0.5,Pd|Ti|Zn,True,True,False,Ni/TiO2 hydrogenation family,active metal present; known oxide support; tractable component count; nearest known family Pd|Ti|Zn (0.50); Ni/TiO2 hydrogenation family; novel composition,Ni|Ti|Zn
[Cu].[Ti],Cu/TiO2,0.818783164024353,-189.9898681640625,0.818783164024353,2,True,90.0,A,True,0.6666666666666666,Cu|Pd|Ti,True,True,False,Cu/TiO2 methanol-synthesis family,active metal present; known oxide support; tractable component count; nearest known family Cu|Pd|Ti (0.67); Cu/TiO2 methanol-synthesis family; novel composition,Cu|Ti
[Cu].[Zn],Cu/ZnO,0.7820370197296143,-169.57928466796875,0.7820370197296143,2,True,95.0,A,True,1.0,Cu|Zn,False,True,False,Cu/Zn methanol-synthesis family,active metal present; known oxide support; tractable component count; nearest known family Cu|Zn (1.00); Cu/Zn methanol-synthesis family; seen composition,Cu|Zn
[Cu].[Ti].[Zn],Cu/TiO2/ZnO,0.7280147075653076,-162.07772827148438,0.7280147075653076,3,True,95.0,A,True,1.0,Cu|Ti|Zn,False,True,False,Cu/Zn methanol-synthesis family,active metal present; known oxide support; tractable component count; nearest known family Cu|Ti|Zn (1.00); Cu/Zn methanol-synthesis family; seen composition,Cu|Ti|Zn
[Cu].[Pd],Cu/Pd,0.6574385166168213,-169.0362091064453,0.6574385166168213,2,True,66.0,B,True,1.0,Cu|Pd,False,False,False,,active metal present; unsupported active-metal composition; tractable component count; nearest known family Cu|Pd (1.00); seen composition,Cu|Pd
[Pd].[Zn],Pd/ZnO,0.5901358127593994,-179.92587280273438,0.5901358127593994,2,True,95.0,A,True,1.0,Pd|Zn,False,True,False,Pd/ZnO methanol-synthesis family,active metal present; known oxide support; tractable component count; nearest known family Pd|Zn (1.00); Pd/ZnO methanol-synthesis family; seen composition,Pd|Zn
[Cu].[Pd].[Ti],Cu/Pd/TiO2,0.5821611285209656,-178.24423217773438,0.5821611285209656,3,True,95.0,A,True,1.0,Cu|Pd|Ti,False,True,False,Cu/TiO2 methanol-synthesis family,active metal present; known oxide support; tractable component count; nearest known family Cu|Pd|Ti (1.00); Cu/TiO2 methanol-synthesis family; seen composition,Cu|Pd|Ti
