index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-0,O=C=O,[H][H],CO,[Cu].[Zn].[Al],11.28,1.0,239.85,30.0,3.0,4.4,3.0,37.9,themecat
themecat-1,O=C=O,[H][H],CO,[Cu].[Zn].[Al],9.44,1.0,219.85,30.0,3.0,4.4,3.0,37.9,themecat
themecat-2,O=C=O,[H][H],CO,[Cu].[Zn].[Al],6.75,1.0,199.85,30.0,3.0,4.4,3.0,37.9,themecat
themecat-3,O=C=O,[H][H],CO,[Cu].[Zn].[Al],4.62,1.0,219.85,10.0,3.0,4.4,3.0,37.9,themecat
themecat-4,O=C=O,[H][H],CO,[Cu].[Zn].[Al],4.34,1.0,199.85,10.0,3.0,4.4,3.0,37.9,themecat
themecat-5,O=C=O,[H][H],CO,[Cu].[Zn].[Al],3.8699999999999997,1.0,239.85,10.0,3.0,4.4,3.0,37.9,themecat
themecat-6,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],12.41,1.0,239.85,30.0,3.0,4.4,3.0,48.8,themecat
themecat-7,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],10.2,1.0,219.85,30.0,3.0,4.4,3.0,48.8,themecat
themecat-8,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],6.75,1.0,199.85,30.0,3.0,4.4,3.0,48.8,themecat
themecat-9,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],4.37,1.0,219.85,10.0,3.0,4.4,3.0,48.8,themecat
themecat-10,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],3.58,1.0,199.85,10.0,3.0,4.4,3.0,48.8,themecat
themecat-11,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],3.3000000000000003,1.0,239.85,10.0,3.0,4.4,3.0,48.8,themecat
themecat-12,O=C=O,[H][H],CO,[Cu].[Zr],12.590000000000002,1.0,239.85,30.0,3.0,4.4,2.0,68.7,themecat
themecat-13,O=C=O,[H][H],CO,[Cu].[Zr],10.59,1.0,219.85,30.0,3.0,4.4,2.0,68.7,themecat
themecat-14,O=C=O,[H][H],CO,[Cu].[Zr],7.3999999999999995,1.0,199.85,30.0,3.0,4.4,2.0,68.7,themecat
themecat-15,O=C=O,[H][H],CO,[Cu].[Zr],4.279999999999999,1.0,219.85,10.0,3.0,4.4,2.0,68.7,themecat
themecat-16,O=C=O,[H][H],CO,[Cu].[Zr],4.21,1.0,239.85,10.0,3.0,4.4,2.0,68.7,themecat
themecat-17,O=C=O,[H][H],CO,[Cu].[Zr],3.5999999999999996,1.0,199.85,10.0,3.0,4.4,2.0,68.7,themecat
themecat-18,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],10.89,1.0,239.85,30.0,3.0,4.4,3.0,53.3,themecat
