index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
Phase 1 seed-1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Zr].[Zr].[Zr],0.009417972317104452,1.0,260.0,50.0,2.0,24000.0,2,87.1,zenodo_11639494_phase_1_seed
Phase 1 seed-2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr],0.023800036243200057,1.0,260.0,50.0,2.0,24000.0,3,68.0,zenodo_11639494_phase_1_seed
Phase 1 seed-3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr],0.017685471415869233,1.0,260.0,50.0,2.0,24000.0,3,56.99999999999999,zenodo_11639494_phase_1_seed
Phase 1 seed-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr],0.009959934834701816,1.0,260.0,50.0,2.0,24000.0,3,46.0,zenodo_11639494_phase_1_seed
Phase 1 seed-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr],0.0024660839965192738,1.0,260.0,50.0,2.0,24000.0,3,60.699999999999996,zenodo_11639494_phase_1_seed
Phase 1 seed-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr],0.001159086925436354,1.0,260.0,50.0,2.0,24000.0,3,71.1,zenodo_11639494_phase_1_seed
Phase 1 seed-7,[C-]#[O+],[H][H],CCO,[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.0,1.0,260.0,50.0,2.0,24000.0,2,89.1,zenodo_11639494_phase_1_seed
Phase 1 seed-8,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr],0.004938019320883018,1.0,260.0,50.0,2.0,24000.0,3,70.0,zenodo_11639494_phase_1_seed
Phase 1 seed-9,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.007179856070588248,1.0,260.0,50.0,2.0,24000.0,3,59.599999999999994,zenodo_11639494_phase_1_seed
Phase 1 seed-10,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.009775577885952643,1.0,260.0,50.0,2.0,24000.0,3,44.6,zenodo_11639494_phase_1_seed
Phase 1 seed-11,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.015040460127116016,1.0,260.0,50.0,2.0,24000.0,3,54.400000000000006,zenodo_11639494_phase_1_seed
Phase 1 seed-12,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Zr].[Zr],0.013543971250322084,1.0,260.0,50.0,2.0,24000.0,3,71.7,zenodo_11639494_phase_1_seed
Phase 1 seed-13,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr],0.0,1.0,260.0,50.0,2.0,24000.0,2,85.1,zenodo_11639494_phase_1_seed
Phase 1 seed-14,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.0049335534118598,1.0,260.0,50.0,2.0,24000.0,3,70.0,zenodo_11639494_phase_1_seed
Phase 1 seed-15,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.004213970829927051,1.0,260.0,50.0,2.0,24000.0,3,57.4,zenodo_11639494_phase_1_seed
Phase 1 seed-16,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.003670476174036408,1.0,260.0,50.0,2.0,24000.0,3,45.8,zenodo_11639494_phase_1_seed
Phase 1 seed-17,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.0038002404164222837,1.0,260.0,50.0,2.0,24000.0,3,61.7,zenodo_11639494_phase_1_seed
Phase 1 seed-18,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.003957848976348999,1.0,260.0,50.0,2.0,24000.0,3,71.1,zenodo_11639494_phase_1_seed
Phase 1 seed-19,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Zr].[Zr],0.025219049057229263,1.0,260.0,50.0,2.0,24000.0,3,78.4,zenodo_11639494_phase_1_seed
Phase 1 seed-20,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Zr].[Zr].[Zr].[Zr],0.011419083222434671,1.0,260.0,50.0,2.0,24000.0,2,81.3,zenodo_11639494_phase_1_seed
Phase 1 seed-21,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.0031551483968644085,1.0,260.0,50.0,2.0,24000.0,3,48.5,zenodo_11639494_phase_1_seed
