index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset,styha_g_h_gcat,ha_c2_fraction,co_conversion,selectivity_co2,selectivity_ch4,selectivity_meoh,selectivity_ha,xrf_zr,xrf_cu,xrf_co,xrf_fe
phase_1_seed-row001-exp1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Zr].[Zr].[Zr],0.009417972317104452,1.0,260.0,50.0,2.0,24000.0,2,87.1,zenodo_11639494_phase_1_seed,0.2366820034200716,0.039791670600274165,0.46512289917266414,0.21707326486314965,0.1425130925577507,0.025158795874169484,0.07168641977038272,0.129,0.0,0.0,0.871
phase_1_seed-row002-exp2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr],0.023800036243200057,1.0,260.0,50.0,2.0,24000.0,3,68.0,zenodo_11639494_phase_1_seed,0.2940408047874803,0.08094127024445356,0.3035831488304696,0.13112845703679238,0.22839830301643882,0.06551467963281178,0.13762070869021426,0.135,0.0,0.185,0.68
phase_1_seed-row003-exp3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr],0.017685471415869233,1.0,260.0,50.0,2.0,24000.0,3,56.99999999999999,zenodo_11639494_phase_1_seed,0.28127355937373655,0.06287640919838478,0.34730427870883607,0.15215544223003666,0.19526116311411013,0.04534683948831611,0.12181121124498702,0.115,0.0,0.315,0.57
phase_1_seed-row004-exp4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr],0.009959934834701816,1.0,260.0,50.0,2.0,24000.0,3,46.0,zenodo_11639494_phase_1_seed,0.24332140161990348,0.04093324618547283,0.35606927928497506,0.13575410090040285,0.1682291931683377,0.0260485604721169,0.10614182277006022,0.11699999999999999,0.0,0.46,0.423
phase_1_seed-row005-exp5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr],0.0024660839965192738,1.0,260.0,50.0,2.0,24000.0,3,60.699999999999996,zenodo_11639494_phase_1_seed,0.16181533278778681,0.015240113245346326,0.6805278060687262,0.10534487918466517,0.16565883141158463,0.008917994245797221,0.038627528670577116,0.125,0.0,0.607,0.268
phase_1_seed-row006-exp6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr],0.001159086925436354,1.0,260.0,50.0,2.0,24000.0,3,71.1,zenodo_11639494_phase_1_seed,0.09986313117422067,0.011606755284031876,0.6994203357935822,0.1511352710241317,0.25139329526153104,0.005105751918190274,0.023584630274555318,0.127,0.0,0.711,0.162
phase_1_seed-row007-exp7,[C-]#[O+],[H][H],CCO,[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.0,1.0,260.0,50.0,2.0,24000.0,2,89.1,zenodo_11639494_phase_1_seed,0.0,0.0,0.002140610876882517,0.06272838590373027,0.35918800341148677,0.547922396567241,0.0,0.109,0.8909999999999999,0.0,0.0
phase_1_seed-row008-exp8,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr],0.004938019320883018,1.0,260.0,50.0,2.0,24000.0,3,70.0,zenodo_11639494_phase_1_seed,0.08644202156662847,0.05712521793670516,0.10326930061743955,0.15360298423140617,0.25268400973430977,0.10068090272198033,0.09204719438163912,0.132,0.7,0.0,0.168
phase_1_seed-row009-exp9,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.007179856070588248,1.0,260.0,50.0,2.0,24000.0,3,59.599999999999994,zenodo_11639494_phase_1_seed,0.13409232664932794,0.053544123291742685,0.18365361789501666,0.15250751338723925,0.22154667711512394,0.07158532789057144,0.08895181568205109,0.113,0.596,0.0,0.29100000000000004
phase_1_seed-row010-exp10,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.009775577885952643,1.0,260.0,50.0,2.0,24000.0,3,44.6,zenodo_11639494_phase_1_seed,0.21004887288597224,0.04653953983013964,0.34218126756069134,0.24310142411824406,0.16324171385407357,0.04532144703499049,0.08282386171476584,0.12300000000000001,0.431,0.0,0.446
phase_1_seed-row011-exp11,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.015040460127116016,1.0,260.0,50.0,2.0,24000.0,3,54.400000000000006,zenodo_11639494_phase_1_seed,0.2999908967629938,0.050136388435141926,0.4756509211909572,0.23570723730730953,0.15431310934393844,0.04606646059126561,0.09086708513758862,0.124,0.332,0.0,0.544
phase_1_seed-row012-exp12,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Zr].[Zr],0.013543971250322084,1.0,260.0,50.0,2.0,24000.0,3,71.7,zenodo_11639494_phase_1_seed,0.3099237243048234,0.04370098249400553,0.552869756182372,0.24323352266962037,0.14715461003952354,0.042388487169464584,0.08211915768531076,0.11900000000000001,0.16399999999999998,0.0,0.7170000000000001
